,0
ESG <= 85,"(5.224335454672148, 0.46629157234077434, 0.08530684451784354)"
ESG <= 70,"(4.079319904383427, 0.40199352064637695, 0.09348948589115863)"
ESG <= 55,"(3.1072102363310674, 0.41806803356997624, 0.12791153586030762)"
