,0
ESG <= 85,"(4.492222388457515, 0.4204270105751232, 0.08835871785755807)"
ESG <= 70,"(4.198874337428458, 0.3861759662426934, 0.08637457020559687)"
ESG <= 55,"(2.9196881922589566, 0.2361574681017952, 0.0728356776814796)"
