,Instrument,ESG Score,Date
0,A2.MI,73.8239394927051,2023-12-31
1,AAK.ST,66.5653521583668,2023-12-31
2,AAL.L,79.8733768433557,2023-12-31
3,AALB.AS,60.5869472124609,2023-12-31
4,ABBN.S,91.4742328154398,2023-12-31
5,ABDN.L,84.0829112348055,2023-12-31
6,ABF.L,63.3922489608335,2023-09-16
7,ABI.BR,76.4140330274976,2022-12-31
8,ABNd.AS,68.5201256730413,2022-12-31
9,ACCP.PA,82.3098580646177,2023-12-31
10,ACKB.BR,53.338187216316,2023-12-31
11,ACPP.WA,55.2250419023464,2022-12-31
12,ACS.MC,76.3832895898368,2023-12-31
13,AD.AS,73.889004308316,2023-12-31
14,ADDTb.ST,43.0928754465851,2023-03-31
15,ADEN.S,60.7891081731985,2023-12-31
16,ADML.L,55.1256664277303,2023-12-31
17,ADP.PA,63.137128912713,2023-12-31
18,ADSGn.DE,90.151970947086,2023-12-31
19,ADYEN.AS,63.7285850505356,2023-12-31
20,AEGN.AS,85.822263765115,2023-12-31
21,AENA.MC,67.7795314721877,2023-12-31
22,AG1G.DE,48.3859777909405,2023-12-31
23,AGES.BR,72.2384316286081,2023-12-31
24,AHT.L,56.9830504666477,2023-04-30
25,AIBG.I,77.7132019802894,2023-12-31
26,AIR.PA,83.4932411958842,2023-12-31
27,AIRP.PA,80.8362818919422,2023-12-31
28,AKE.PA,79.14142114222,2023-12-31
29,AKRBP.OL,69.4119748657196,2023-12-31
30,AKZO.AS,77.02880379927,2023-12-31
31,ALCC.S,80.3060744156167,2022-12-31
32,ALEP.WA,61.1555897251296,2023-12-31
33,ALFA.ST,72.6356682652123,2023-12-31
34,ALKb.CO,66.3042648366073,2023-12-31
35,ALLN.S,41.9888098984247,2022-12-31
36,ALSO.PA,88.2468862936591,2023-03-31
37,ALSYDB.CO,43.0484047767402,2023-12-31
38,ALVG.DE,87.3243831439742,2023-12-31
39,AM.PA,51.1003976428071,2023-12-31
40,AMA.MC,89.0386880231195,2023-12-31
41,AMBUb.CO,69.9006738007403,2022-09-30
42,AMPF.MI,67.1321933612731,2023-12-31
43,AMUN.PA,60.6726482395803,2023-12-31
44,ANA.MC,86.3575413915979,2023-12-31
45,ANDR.VI,74.9509114599375,2022-12-31
46,ANTO.L,72.1845878921786,2023-12-31
47,AOO.BR,81.5200999364908,2023-12-31
48,ARDS.AS,60.9524236861196,2023-12-31
49,ARGX.BR,69.8396858698478,2023-12-31
50,ASMI.AS,73.3616068998821,2023-12-31
51,ASML.AS,76.3799719769767,2023-12-31
52,ASRNL.AS,84.6426754211218,2023-12-31
53,ASSAb.ST,73.4768863627315,2023-12-31
54,ATCOa.ST,79.4657910803714,2023-12-31
55,AUTOA.L,60.0401033934065,2023-03-31
56,AV.L,67.2676835563787,2023-12-31
57,AVANZ.ST,62.9590780650729,2023-12-31
58,AVOL.S,60.5602243945484,2023-12-31
59,AXAF.PA,81.3982153355622,2023-12-31
60,AXFO.ST,69.2344860053767,2023-12-31
61,AYV.PA,66.0826851102869,2023-12-31
62,AZMT.MI,47.9546972426901,2022-12-31
63,AZN.L,93.9859608529104,2023-12-31
64,BAB.L,56.9209828406849,2023-03-31
65,BAER.S,67.7986481610282,2023-12-31
66,BAES.L,58.0348152266721,2023-12-31
67,BAKKA.OL,61.8398955847832,2022-12-31
68,BALDb.ST,44.3381830946363,2022-12-31
69,BALF.L,74.2552621783466,2023-12-31
70,BAMI.MI,74.6853636419674,2023-12-31
71,BARC.L,86.4060417681926,2023-12-31
72,BARN.S,81.3804826636962,2022-08-31
73,BASFn.DE,88.8643036818316,2023-12-31
74,BATS.L,91.9407028427635,2023-12-31
75,BAVA.CO,60.1997453481022,2023-12-31
76,BAWG.VI,72.5954058414717,2023-12-31
77,BAYGn.DE,91.7981560072149,2023-12-31
78,BBOXT.L,57.210833952408,2023-12-31
79,BBVA.MC,91.4036806947993,2023-12-31
80,BC8G.DE,66.5992741756589,2023-12-31
81,BCP.LS,77.1340919456314,2023-12-31
82,BCU.MI,49.9162825796207,2023-12-31
83,BCVN.S,69.7190600314255,2023-12-31
84,BEAN.S,58.3664359771482,2023-12-31
85,BEIG.DE,65.1491790925711,2022-12-31
86,BEIJb.ST,41.6330813842271,2023-12-31
87,BESI.AS,67.0515782796303,2023-12-31
88,BEZG.L,60.8485882074907,2023-12-31
89,BGEO.L,65.6382218540976,2023-12-31
90,BGN.MI,70.3867396671875,2023-12-31
91,BIOX.PA,70.9937144690155,2023-12-31
92,BIRG.I,61.9938544511713,2023-12-31
93,BKGH.L,75.509520177285,2023-04-30
94,BKT.MC,80.584849068484,2023-12-31
95,BKWB.S,46.4442925596599,2023-12-31
96,BLND.L,77.669810699207,2023-03-31
97,BMEB.L,49.579649387903,2022-03-26
98,BMED.MI,67.7508259392909,2022-12-31
99,BMPS.MI,67.3348028144125,2022-12-31
100,BMWG.DE,90.5012489558833,2023-12-31
101,BNPP.PA,93.4789180605368,2023-12-31
102,BNRGn.DE,68.0019315178647,2023-12-31
103,BNZL.L,47.209529226317,2023-12-31
104,BOL.ST,80.4869995174513,2023-12-31
105,BOLL.PA,63.5557193279777,2023-12-31
106,BOUY.PA,76.5131401847411,2023-12-31
107,BP.L,87.5503688949139,2023-12-31
108,BRBY.L,79.4804059847433,2022-04-02
109,BT.L,67.1423840805665,2023-03-31
110,BTRW.L,69.8148236817855,2022-06-30
111,BUCN.S,66.1413205863602,2023-12-31
112,BVI.PA,79.1526538451514,2023-12-31
113,BWY.L,52.5997878853144,2022-07-31
114,BYG.L,77.9981319900104,2023-03-31
115,BZU.MI,54.1746710360477,2022-12-31
116,CABK.MC,88.2158059084031,2023-12-31
117,CAGR.PA,63.1763910882906,2023-12-31
118,CAMX.ST,70.8118520340818,2023-12-31
119,CAPP.PA,67.0750519877372,2022-12-31
120,CARLb.CO,68.7979430219577,2022-12-31
121,CARR.PA,82.1200403606023,2022-12-31
122,CAST.ST,77.4062582950335,2022-12-31
123,CBKG.DE,75.5032192829085,2023-12-31
124,CCH.L,88.7445337539781,2023-12-31
125,CCL.L,78.5904740989999,2022-11-30
126,CDR.WA,42.8587975307036,2023-12-31
127,CFR.S,69.141935428341,2023-03-31
128,CLNX.MC,79.9462851996447,2023-12-31
129,CMBN.S,56.3369081981394,2023-12-31
130,CNA.L,71.6128764336372,2023-12-31
131,COFB.BR,89.4968612840107,2023-12-31
132,COLOb.CO,78.5848962630416,2022-09-30
133,CONG.DE,74.2931041047811,2023-12-31
134,CPG.L,76.2948972525674,2022-09-30
135,CPRI.MI,58.5198487028258,2023-12-31
136,CRDA.L,81.5746589515581,2022-12-31
137,CRDI.MI,79.8899604486578,2023-12-31
138,CTEC.L,76.7733714881839,2023-12-31
139,CVO.PA,85.6032517441338,2023-12-31
140,CWK.L,71.810931727396,2023-03-25
141,DANO.PA,92.7087309250779,2023-12-31
142,DANSKE.CO,65.0179425639002,2022-12-31
143,DAST.PA,60.0936930000697,2023-12-31
144,DB1Gn.DE,66.6153388354797,2023-12-31
145,DBKGn.DE,81.1005942245756,2023-12-31
146,DCC.L,48.5952905368119,2022-03-31
147,DEMANT.CO,59.944649909731,2022-12-31
148,DGE.L,72.902511442999,2022-06-30
149,DHER.DE,78.4487045456109,2023-12-31
150,DHLn.DE,74.7355650811571,2023-12-31
151,DIOR.PA,73.5905527160193,2023-12-31
152,DKSH.S,77.031890835065,2023-12-31
153,DLG.MI,68.9631153623405,2022-12-31
154,DLN.L,75.0012217488239,2023-12-31
155,DNB.OL,68.6144310019916,2022-12-31
156,DNP.WA,27.1428726128264,2023-12-31
157,DPLM.L,37.0302152191282,2022-09-30
158,DRX.L,60.8358381962733,2023-12-31
159,DSV.CO,82.1223887590521,2022-12-31
160,DTEGn.DE,80.8559628890064,2023-12-31
161,EDEN.PA,75.546864114382,2023-12-31
162,EDP.LS,82.5186340658112,2023-12-31
163,EDPR.LS,77.7673626335488,2023-12-31
164,ELE.MC,80.0446117555556,2023-12-31
165,ELI.BR,50.07237125828,2023-12-31
166,ELIS.PA,75.8103717721808,2023-12-31
167,ELISA.HE,58.5005452066859,2023-12-31
168,EMG.L,78.2028284328905,2022-12-31
169,EMII.MI,80.7730510256121,2023-12-31
170,EMSN.S,34.8804984879304,2020-12-31
171,ENAG.MC,81.3110264552032,2023-12-31
172,ENEI.MI,78.8888940715506,2023-12-31
173,ENGIE.PA,71.6858974110859,2023-12-31
174,ENI.MI,84.0597221869145,2023-12-31
175,ENT.L,82.7007010550865,2022-12-31
176,ENX.PA,63.7138023569924,2023-12-31
177,EONGn.DE,63.2527035867751,2023-12-31
178,EPIRa.ST,86.1513871299084,2023-12-31
179,EQNR.OL,69.517851686203,2023-12-31
180,EQTAB.ST,65.913615245603,2023-12-31
181,ERICb.ST,83.7771740462885,2022-12-31
182,ERST.VI,67.5043041077839,2023-12-31
183,ESLX.PA,65.4226194588072,2023-12-31
184,ESSITYb.ST,80.3982677263978,2023-12-31
185,EUFI.PA,78.7136081358403,2023-12-31
186,EURA.PA,48.7461691896346,2023-12-31
187,EVDG.DE,23.0524295064277,2023-12-31
188,EVKn.DE,83.8826626342035,2023-12-31
189,EVOG.ST,53.2884218542717,2023-12-31
190,EXHO.PA,78.1412944514908,2022-08-31
191,EXOR.AS,34.4351522747007,2023-12-31
192,EXPN.L,71.1121731410073,2023-03-31
193,EZJ.L,63.266772161509,2023-09-30
194,FBK.MI,82.0282232743518,2023-12-31
195,FDJU.PA,72.4637703597647,2023-12-31
196,FER.MC,83.2952055834682,2023-12-31
197,FHZN.S,47.6842994444135,2023-12-31
198,FLS.CO,55.858479270556,2023-12-31
199,FMEG.DE,84.7151029924324,2023-12-31
200,FNTGn.DE,38.0367101120502,2023-12-31
201,FORTUM.HE,70.1418020824719,2023-12-31
202,FOUG.PA,78.9873892520334,2023-12-31
203,FPE3_p.DE,57.4564453144912,2022-12-31
204,FRAG.DE,72.5421499465621,2023-12-31
205,FREG.DE,73.6747889329834,2023-12-31
206,FRES.L,53.8077848881507,2023-12-31
207,FRO.OL,34.8511126142496,2022-12-31
208,FTKn.DE,65.2252548196077,2023-12-31
209,G1AG.DE,84.5319585552645,2023-12-31
210,G24n.DE,65.6207134347772,2023-12-31
211,GALE.S,67.8009883488561,2023-12-31
212,GALP.LS,69.3622818006615,2023-12-31
213,GASI.MI,90.0926783324381,2023-12-31
214,GAW.L,36.0089775805789,2022-05-29
215,GBFG.DE,61.3451892990399,2023-12-31
216,GBLB.BR,72.2572904545421,2022-12-31
217,GEBN.S,88.0327318662401,2023-12-31
218,GETIb.ST,76.8843179748572,2023-12-31
219,GETP.PA,82.7371070490225,2023-12-31
220,GF.S,84.17716689814,2022-12-31
221,GFCP.PA,90.4812700877225,2023-12-31
222,GFTU_u.L,58.7429408991657,2023-12-31
223,GIVN.S,79.5174023796534,2022-12-31
224,GJFG.OL,68.4226860076632,2022-12-31
225,GLEN.L,88.5889883736898,2023-12-31
226,GMAB.CO,74.799052053715,2023-12-31
227,GRLS.MC,65.3232774354837,2023-12-31
228,GSK.L,90.5401885855551,2023-12-31
229,GTT.PA,58.5039064546152,2023-12-31
230,HAGG.DE,73.6917031103652,2023-12-31
231,HBANC.S,63.4454883340057,2023-12-31
232,HEIG.DE,82.0740071492367,2023-12-31
233,HEIN.AS,62.6507806162313,2023-12-31
234,HEIO.AS,56.8997243847838,2023-12-31
235,HEXAb.ST,54.3156268983843,2023-12-31
236,HIAB.HE,76.9953819743256,2023-12-31
237,HIK.L,69.1225415162045,2023-12-31
238,HLMA.L,56.4642616519735,2023-03-31
239,HMb.ST,72.2030629624394,2023-11-30
240,HNKG_p.DE,81.8789293037378,2023-12-31
241,HNRGn.DE,72.8880034735249,2022-12-31
