,Instrument,ESG Score,Date
0,A2.MI,81.0558818399919,2020-12-31
1,AAK.ST,66.6391281716036,2020-12-31
2,AAL.L,84.5036067437844,2020-12-31
3,AALB.AS,61.2376028354172,2020-12-31
4,ABBN.S,93.9958864400135,2020-12-31
5,ABDN.L,83.7504160067688,2020-12-31
6,ABF.L,76.2682048943628,2020-09-12
7,ABI.BR,60.7802791881058,2019-12-31
8,ABNd.AS,68.790504549593,2019-12-31
9,ACCP.PA,80.7826677615113,2020-12-31
10,ACKB.BR,38.4011883716754,2020-12-31
11,ACPP.WA,49.6468828791417,2019-12-31
12,ACS.MC,70.0180785411703,2020-12-31
13,AD.AS,64.7292584323231,2019-12-29
14,ADDTb.ST,45.4431036319882,2020-03-31
15,ADEN.S,72.7724512316981,2020-12-31
16,ADML.L,60.2348162959963,2020-12-31
17,ADP.PA,71.1529728170159,2020-12-31
18,ADSGn.DE,88.4141868982912,2020-12-31
19,ADYEN.AS,36.2180011124762,2020-12-31
20,AEGN.AS,86.0615493968571,2020-12-31
21,AENA.MC,80.016028842638,2020-12-31
22,AG1G.DE,12.6511269225425,2020-12-31
23,AGES.BR,68.1408275066669,2020-12-31
24,AHT.L,47.8126109168475,2020-04-30
25,AIBG.I,72.4830672113874,2020-12-31
26,AIR.PA,83.3410698988996,2020-12-31
27,AIRP.PA,75.5950929751891,2020-12-31
28,AKE.PA,81.2293063684551,2020-12-31
29,AKRBP.OL,68.3208736422502,2020-12-31
30,AKZO.AS,79.6800626033365,2020-12-31
31,ALCC.S,68.6800911559317,2019-12-31
32,ALEP.WA,59.0871404084693,2020-12-31
33,ALFA.ST,83.42712892022,2020-12-31
34,ALKb.CO,67.9947411227516,2020-12-31
35,ALLN.S,42.2230319715607,2019-12-31
36,ALSO.PA,83.7446230240379,2020-03-31
37,ALSYDB.CO,49.6686217369608,2020-12-31
38,ALVG.DE,93.3269158060443,2020-12-31
39,AM.PA,52.0121020403277,2020-12-31
40,AMA.MC,85.2177431795318,2020-12-31
41,AMBUb.CO,56.0662281064001,2019-09-30
42,AMPF.MI,59.051622082688,2020-12-31
43,AMUN.PA,59.9461528758102,2020-12-31
44,ANA.MC,87.6954512168993,2020-12-31
45,ANDR.VI,75.2371169700061,2019-12-31
46,ANTO.L,69.2553819639092,2020-12-31
47,AOO.BR,72.0111710416467,2020-06-30
48,ARDS.AS,76.6444039850779,2020-12-31
49,ARGX.BR,47.9685226763256,2020-12-31
50,ASMI.AS,63.6455738146213,2020-12-31
51,ASML.AS,76.3039847620506,2020-12-31
