,Instrument
367,CHD.N
368,APO.N
369,Q.N
370,CPB.OQ
371,PLTR.OQ
372,AFL.N
373,DD.N
374,HAL.N
375,NUE.N
376,YUM.N
377,ARES.N
378,JKHY.OQ
379,AEP.OQ
380,ALL.N
381,VRSN.OQ
382,PEP.OQ
383,AJG.N
384,MO.N
385,SWKS.OQ
386,PPG.N
387,CRL.N
388,FSLR.OQ
389,USB.N
390,CI.N
391,HII.N
392,TTWO.OQ
393,AON.N
394,ITW.N
395,SW.N
396,LVS.N
397,CBRE.N
398,HAS.OQ
399,ECL.N
400,EMR.N
401,CNC.N
402,SBUX.OQ
403,WFC.N
404,APH.N
405,DASH.OQ
406,IFF.N
407,PAYC.N
408,TSCO.OQ
409,MOH.N
410,FTV.N
411,KDP.OQ
412,MCO.N
413,STZ.N
414,LEN.N
415,PSKY.OQ
416,ACN.N
417,CFG.N
418,NVR.N
419,PODD.OQ
420,FE.N
421,EBAY.OQ
422,KEYS.N
423,NWSA.OQ
424,WSM.N
425,NEM.N
426,AIG.N
427,WYNN.OQ
428,VRTX.OQ
429,GD.N
430,GWW.N
431,L.N
432,FANG.OQ
433,GEN.OQ
434,SRE.N
435,POOL.OQ
436,BBY.N
437,WTW.OQ
438,NSC.N
439,CDNS.OQ
440,CB.N
441,AZO.N
442,WBD.OQ
443,KMB.OQ
444,TYL.N
445,CAG.N
446,ISRG.OQ
447,KKR.N
448,ALB.N
449,PPL.N
450,JBHT.OQ
451,VMC.N
452,HSY.N
453,EOG.N
454,WEC.N
455,TROW.OQ
456,HST.OQ
457,PGR.N
458,FRT.N
459,AES.N
460,FAST.OQ
461,COR.N
462,ROST.OQ
463,PSA.N
464,CCL.N
465,DIS.N
466,DOW.N
467,APP.OQ
468,GS.N
469,NDAQ.OQ
470,NEE.N
471,DAL.N
472,DVA.N
473,CVNA.N
474,EXPE.OQ
475,GPC.N
476,NI.N
477,SYK.N
478,HON.OQ
479,ADI.OQ
480,VLO.N
481,STX.OQ
482,PNC.N
483,MMM.N
484,AMCR.N
485,DOV.N
486,PCG.N
487,ALGN.OQ
488,NTRS.OQ
489,MTCH.OQ
490,SHW.N
491,GE.N
492,MSI.N
493,KVUE.N
494,TMO.N
495,DDOG.OQ
496,FOXA.OQ
497,WDAY.OQ
498,MCK.N
499,DAY.N
500,BMY.N
501,CEG.OQ
502,CHTR.OQ
