aDate;target_name;target_ticker;buyer_name;buyer_ticker
19.09.17;Bob Evans Farms Inc;BOBE.O^A18;Post Holdings Inc;POST.K
23.10.17;BroadSoft Inc;BSFT.O^B18;Cisco Systems Inc;CSCO.O
30.10.17;Dynegy Inc;DYN^D18;Vistra Energy Corp;VST
03.12.17;Aetna Inc;AET^K18;CVS Health Corp;CVS
07.12.17;Entellus Medical Inc;ENTL.O^C18;Stryker Corp;SYK
18.12.17;Snyder's-Lance Inc;LNCE.O^C18;Campbell Soup Co;CPB.O
18.12.17;Amplify Snack Brands Inc;BETR.K^A18;Hershey Co;HSY
03.01.18;SCANA Corp;SCG^A19;Dominion Energy Inc;D
11.01.18;DST Systems Inc;DST^D18;SS&C Technologies Holdings Inc;SSNC.O
18.01.18;La Quinta Holdings Inc;LQ^E18;Wyndham Worldwide Corp;WYND_w.K^F18
22.01.18;Validus Holdings Ltd;VR_pb^J18;American International Group Inc;AIG
08.02.18;Nustar GP Holdings LLC;NSH^G18;NuStar Energy LP;NS^E24
09.02.18;CSRA Inc;CSRA.K^D18;General Dynamics Corp;GD
12.02.18;Grandpoint Capital Inc;GPNC.PK^G18;Pacific Premier Bancorp Inc;PPBI.O
13.02.18;Infinity Property & Casualty Corp;IPCC.O^G18;Kemper Corp;KMPR.K
23.02.18;Blue Buffalo Pet Products Inc;BUFF.O^D18;General Mills Inc;GIS
01.03.18;Microsemi Corp;MSCCn.BCU;Microchip Technology Inc;MCHP.O
20.03.18;MuleSoft Inc;MULE.K^E18;Salesforce.com Inc;CRM
28.03.18;LaSalle Hotel Properties;LHO^L18;Pebblebrook Hotel Trust;PEB
23.04.18;Vectren Corp;VVC^B19;CenterPoint Energy Inc;CNP
26.04.18;Rice Midstream Partners LP;RMP^G18;EQT Midstream Partners LP;EQM^F20
26.04.18;CYS Investments Inc;CYS^H18;Two Harbors Investment Corp;TWO
29.04.18;DCT Industrial Trust Inc;DCT^H18;Prologis Inc;PLD
30.04.18;ILG Inc;ILG.O^I18;Marriott Vacations Worldwide Corp;VAC
30.04.18;Andeavor Corp;ANDV.K^J18;Marathon Petroleum Corp;MPC
10.05.18;Armo Biosciences Inc;ARMOn.BCU;Eli Lilly & Co;LLY
13.05.18;State Bank Financial Corp;STBZ.O^A19;Cadence Bancorp;CADE.K^J21
21.05.18;MB Financial Inc;MBFI.O^C19;Fifth Third Bancorp;FITB.O
18.06.18;CoBiz Financial Inc;COBZ.O^J18;BOK Financial Corp;BOKF.O
27.06.18;Pinnacle Foods Inc;PF^J18;Conagra Brands Inc;CAG
28.06.18;Convergys Corp;CVG^J18;SYNNEX Corp;SNX
28.06.18;Keryx Biopharmaceuticals Inc;KERX.O^L18;Akebia Therapeutics Inc;AKBA.O
11.07.18;CA Inc;CA.O^K18;Broadcom Inc;AVGO.O
24.07.18;FCB Financial Holdings Inc;FCB^A19;Synovus Financial Corp;SNV
26.07.18;SuperValu Inc;SVU^J18;United Natural Foods Inc;UNFI.K
14.08.18;Energen Corp;EGN^K18;Diamondback Energy Inc;FANG.O
22.08.18;The Navigators Group Inc;NAVG.O^E19;The Hartford Financial Services Group Inc;HIG
30.08.18;K2M Group Holdings Inc;KTWOn.BCU;Stryker Corp;SYK
20.09.18;Blue Hills Bancorp Inc;BHBK.O^D19;Independent Bank Corp,Rockland,Massachusetts;INDB.O
03.10.18;Hortonworks Inc;HDPn.BCU;Cloudera Inc;CLDR.K^J21
10.10.18;Esterline Technologies Corp;ESL^C19;TransDigm Group Inc;TDG
15.10.18;SendGrid Inc;SEND.K^B19;Twilio Inc;TWLO.K
28.10.18;Red Hat Inc;RHT^G19;International Business Machines Corp;IBM
30.10.18;Electro Scientific Industries Inc;ESIO.O^B19;MKS Instruments Inc;MKSI.O
07.11.18;Investment Technology Group Inc;ITG^C19;Virtu Financial Inc;VIRT.K
19.11.18;Resolute Energy Corp;REN^C19;Cimarex Energy Co;XEC^J21
26.11.18;National Commerce Corp;NCOM.O^D19;CenterState Bank Corp;CSFL.O^F20
17.12.18;Fidelity Southern Corp;LION.O^G19;Ameris Bancorp;ABCB.K
03.01.19;Celgene Corp;CELG.OQ^K19;Bristol-Myers Squibb Co;BMY
07.01.19;Loxo Oncology Inc;LOXO.O^B19;Eli Lilly & Co;LLY
14.01.19;Goldcorp Inc;GGn.BCU;Newmont Mining Corp;NEM
16.01.19;First Data Corp;FDC^G19;Fiserv Inc;FI
04.02.19;Liberty Expedia Holdings Inc;LEXEA.O^G19;Expedia Group Inc;EXPE.O
11.02.19;Solium Capital Inc;SUM.TO^E19;Morgan Stanley;MS
18.03.19;Worldpay Inc;WP^G19;Fidelity National Information Services Inc;FIS
19.03.19;HFF Inc;HF^G19;Jones Lang LaSalle IP Inc;JLL
25.03.19;TIER REIT Inc;TIER.K^F19;Cousins Properties Inc;CUZ
27.03.19;WellCare Health Plans Inc;WCG^A20;Centene Corp;CNC
24.04.19;Anadarko Petroleum Corp;APC^H19;Occidental Petroleum Corp;OXY
30.04.19;WageWorks Inc;WAGE.K^H19;HealthEquity Inc;HQY.O
06.05.19;Chesapeake Lodging Trust;CHSP.K^I19;Park Hotels & Resorts Inc;PK
08.05.19;Andeavor Logistics LP;ANDX.K^G19;MPLX LP;MPLX.K
17.05.19;Cray Inc;CRAY.O^I19;Hewlett Packard Enterprise Co;HPE
28.05.19;Total System Services Inc;TSS^I19;Global Payments Inc;GPN
09.06.19;Raytheon Co;RTN^D20;United Technologies Corp;UTX_pa^H15
10.06.19;Tableau Software Inc;DATA.K^H19;Salesforce.com Inc;CRM
17.06.19;Array Biopharma Inc;ARRY.O^G19;Pfizer Inc;PFE
09.07.19;Acacia Communications Inc;ACIA.O^C21;Cisco Systems Inc;CSCO.O
12.07.19;Milacron Holdings Corp;MCRN.K^K19;Hillenbrand Inc;HI
15.07.19;Carrizo Oil & Gas Inc;CRZOn.BCU;Callon Petroleum Co;CPE.MX
15.07.19;Industrial Property Trust Inc;IDDP.PK^K19;Prologis Inc;PLD
23.07.19;Old Line Bancshares Inc;OLBK.O^K19;WesBanco Inc;WSBC.O
29.07.19;Genomic Health Inc;GHDX.O^K19;Exact Sciences Corp;EXAS.O
07.08.19;Avedro Inc;AVDR.O^K19;Glaukos Corp;GKOS.K
22.08.19;Entertainment One Ltd;ETO.L^L19;Hasbro Inc;HAS.O
22.08.19;Carbon Black Inc;CBLK.O^J19;VMware Inc;VMW.MX
14.10.19;Jagged Peak Energy Inc;JAG^A20;Parsley Energy Inc;PE^A21
27.10.19;Liberty Property Trust;LPT.N^B20;Prologis Inc;PLD
04.11.19;IBERIABANK Corp;IBKC.O^G20;First Horizon National Corp;FHN
06.11.19;William Lyon Homes;WLH^B20;Taylor Morrison Home Corp;TMHC.K
25.11.19;TD Ameritrade Holding Corp;AMTD.O^J20;Charles Schwab Corp;SCHW.K
03.12.19;AK Steel Holding Corp;AKS^C20;Cleveland-Cliffs Inc;CLF
10.01.20;Dermira Inc;DERM.O^B20;Eli Lilly & Co;LLY
27.01.20;CenterState Bank Corp;CSFL.O^F20;South State Corp;SSB
03.02.20;Opus Bank;OPB.O^F20;Pacific Premier Bancorp Inc;PPBI.O
20.02.20;E*TRADE Financial Corp;ETFC.O^J20;Morgan Stanley;MS
02.03.20;Forty Seven Inc;FTSV.O^D20;Gilead Sciences Inc;GILD.O
06.07.20;Vivint Solar Inc;VSLR.K^J20;Sunrun Inc;RUN.O
07.07.20;National General Holdings Corp;NGHC.O^A21;Allstate Corp;ALL
13.07.20;Maxim Integrated Products Inc;MXIMvi.TPRM;Analog Devices Inc;ADI.O
20.07.20;Noble Energy Inc;NBL.O^J20;Chevron Corp;CVX
05.08.20;Livongo Health Inc;LVGO.MX;Teladoc Health Inc;TDOC.K
10.08.20;Pfenex Inc;PFNX.K^J20;Ligand Pharmaceuticals Inc;LGND.O
19.08.20;Momenta Pharmaceuticals Inc;MNTA.O^J20;Johnson & Johnson;JNJ
27.08.20;BMC Stock Holdings Inc;BMCHn.BCU;Builders FirstSource Inc;BLDR.K
13.09.20;Immunomedics Inc;IMMUn.BCU;Gilead Sciences Inc;GILD.O
28.09.20;WPX Energy Inc;WPX^A21;Devon Energy Corp;DVN
05.10.20;MyoKardia Inc;MYOKn.BCU;Bristol-Myers Squibb Co;BMY
08.10.20;Eaton Vance Corp;EVCNf.TPRM;Morgan Stanley;MS
10.11.20;Great Canadian Gaming Corp;GCdb.TO^I21;Apollo Global Management Inc;APO.MX^D22
16.11.20;HD Supply Holdings Inc;HDS.O^L20;Home Depot Inc;HD
09.12.20;MTS Systems Corp;MTSC.O^D21;Amphenol Corp;APH
21.12.20;QEP Resources Inc;QEP^C21;Diamondback Energy Inc;FANG.O
